BlockId,Prediction,Confidence,Timestamp,Source_File,Severity
blk_-1030832046197982436,Anomaly,100.0,2026-05-22 13:18:24,HDFS_2k_test2.csv,CRITICAL
blk_-1046472716157313227,Anomaly,100.0,2026-05-22 13:18:24,HDFS_2k_test2.csv,CRITICAL
blk_-1049340855430710153,Anomaly,100.0,2026-05-22 13:18:24,HDFS_2k_test2.csv,CRITICAL
blk_-1055254430948037872,Anomaly,99.0,2026-05-22 13:18:24,HDFS_2k_test2.csv,CRITICAL
blk_-1067234447809438340,Anomaly,100.0,2026-05-22 13:18:24,HDFS_2k_test2.csv,CRITICAL
blk_-1071115021179995772,Anomaly,100.0,2026-05-22 13:18:24,HDFS_2k_test2.csv,CRITICAL
blk_-1082541280306680938,Anomaly,100.0,2026-05-22 13:18:24,HDFS_2k_test2.csv,CRITICAL
blk_-1090213273274684471,Anomaly,100.0,2026-05-22 13:18:24,HDFS_2k_test2.csv,CRITICAL
blk_-1094025072435547068,Anomaly,100.0,2026-05-22 13:18:24,HDFS_2k_test2.csv,CRITICAL
blk_-1096621677333075077,Anomaly,100.0,2026-05-22 13:18:24,HDFS_2k_test2.csv,CRITICAL
blk_-1101091099241306483,Anomaly,100.0,2026-05-22 13:18:24,HDFS_2k_test2.csv,CRITICAL
blk_-1110880362999960078,Anomaly,100.0,2026-05-22 13:18:24,HDFS_2k_test2.csv,CRITICAL
blk_-1111344660779690782,Anomaly,100.0,2026-05-22 13:18:24,HDFS_2k_test2.csv,CRITICAL
blk_-1125621902344947014,Anomaly,100.0,2026-05-22 13:18:24,HDFS_2k_test2.csv,CRITICAL
blk_-1133573997287815203,Anomaly,100.0,2026-05-22 13:18:24,HDFS_2k_test2.csv,CRITICAL
blk_-1141332313413855099,Anomaly,100.0,2026-05-22 13:18:24,HDFS_2k_test2.csv,CRITICAL
blk_-1148756466197125339,Anomaly,100.0,2026-05-22 13:18:24,HDFS_2k_test2.csv,CRITICAL
